date,lastSyncTime,steps,distance,runDistance,calories
2018-10-04,1538676099,2309,1634,123,57
2018-10-05,1538762509,2987,2150,207,77
2018-10-06,1538848915,3006,2088,287,71
2018-10-07,1538935326,1038,702,125,27
2018-10-08,1539021734,2491,1792,175,64
2018-10-09,1539108146,1972,1390,186,49
2018-10-10,1539194554,2445,1726,263,62
2018-10-11,1539280960,2586,1895,372,76
2018-10-12,1539437582,4210,3018,232,102
2018-10-13,1539453783,2533,1865,230,67
2018-10-14,1539540189,5808,4241,531,149
2018-10-15,1539626599,3175,2234,274,86
2018-10-16,1539713010,3827,2800,279,105
2018-10-17,1539799418,2386,1723,182,69
2018-10-18,1539885827,2166,1562,205,60
2018-10-19,1540053271,7167,5547,334,202
2018-10-20,1540058646,4385,3283,638,112
2018-10-21,1540145055,3479,2549,162,86
2018-10-22,1540231463,2222,1576,168,60
2018-10-23,1540317877,2110,1507,213,58
2018-10-24,1540404281,1598,1131,154,44
2018-10-25,1540490695,3273,2304,287,92
2018-10-26,1540577104,3255,2309,423,98
2018-10-27,1540663516,1204,825,77,27
2018-10-28,1540749925,3031,2150,204,74
2018-10-29,1540836478,3943,2933,251,101
2018-10-30,1540922744,4402,3166,257,111
2018-10-31,1541009153,2489,1753,216,66
2018-11-01,1541095562,2693,1973,190,70
2018-11-02,1541214402,2385,1736,185,63
2018-11-03,1541268388,2245,1592,136,57
2018-11-04,1541354794,6096,4777,131,173
2018-11-05,1541441205,2346,1710,170,63
2018-11-06,1541527617,5196,3957,196,144
2018-11-07,1541614024,3137,2303,159,83
2018-11-08,1541700434,533,370,36,14
2018-11-09,1541786846,1870,1394,179,51
2018-11-10,1541873253,2941,2139,219,78
2018-11-11,1542101842,1574,1065,137,38
2018-11-12,1542101844,2504,1747,409,75
2018-11-13,1542132485,2268,1683,345,65
2018-11-14,1542296298,2659,1871,155,66
2018-11-15,1542304914,2457,1742,388,70
2018-11-16,1542391708,2910,2024,258,83
2018-11-17,1542508406,1575,1139,82,41
2018-11-18,1542632233,1805,1221,141,42
2018-11-19,1542715737,2799,2070,204,79
2018-11-20,1542767400,5181,3961,168,142
2018-11-21,1543045003,2911,2129,251,85
2018-11-22,1543045002,3753,2627,345,103
2018-11-23,1543045002,2569,1858,120,65
2018-11-24,1543082973,2256,1698,155,61
2018-11-25,1543236982,1539,1146,79,39
2018-11-26,1543255790,2888,2014,262,71
2018-11-27,1543342200,3986,2933,195,96
2018-11-28,1543672427,5724,4096,379,143
2018-11-29,1543672429,4446,3281,110,105
2018-11-30,1543672430,3629,2601,438,107
2018-12-01,1543748622,4101,3084,656,126
2018-12-02,1543774246,2155,1588,132,56
2018-12-03,1543864256,6045,4484,603,172
2018-12-04,1544010076,2263,1576,255,64
2018-12-05,1544238398,5463,4031,322,149
2018-12-06,1544238397,1999,1451,283,54
2018-12-07,1544238398,0,0,0,0
2018-12-08,1545668290,5030,3761,99,142
2018-12-09,1545668289,1025,750,0,45
2018-12-10,1545668291,6554,5080,0,230
2018-12-11,1545668291,5140,3795,0,153
2018-12-12,1545668286,3147,2352,0,121
2018-12-13,1545668289,4686,3676,0,177
2018-12-14,1545668291,3615,2691,0,175
2018-12-15,1545668287,3018,2042,0,134
2018-12-16,1545668285,2049,1386,0,89
2018-12-17,1545668286,4187,2938,0,117
2018-12-18,1545668289,4552,3252,0,146
2018-12-19,1545668286,8125,5854,0,265
2018-12-20,1545668287,7523,5689,0,247
2018-12-21,1545668288,4825,3491,0,158
2018-12-22,1545668287,1784,1207,0,41
2018-12-23,1545668285,940,710,0,56
2018-12-24,1545668288,2165,1465,0,75
2019-01-09,1557361660,1242,989,0,59
2019-01-10,1557361668,2568,1872,0,87
2019-01-11,1557361667,4386,3698,0,194
2019-01-12,1557361667,5823,4555,0,237
2019-01-13,1557361666,123,83,0,19
2019-01-14,1557361666,1602,1084,0,63
2019-01-15,1557361666,1865,1431,0,75
2019-01-16,1557361665,2461,1805,0,78
2019-01-17,1557361665,2268,1631,0,89
2019-01-18,1557361665,2405,1744,0,74
2019-01-19,1557361664,3298,2564,0,126
2019-01-20,1557361675,393,266,0,23
2019-01-21,1557361675,4826,3872,0,194
2019-01-22,1557361675,2893,2122,0,101
2019-01-23,1557361674,2795,2073,0,106
2019-01-24,1557361674,2993,2191,0,104
2019-01-25,1557361674,2849,2149,0,121
2019-01-26,1557361673,1454,984,0,76
2019-01-27,1557361673,1475,1055,0,70
2019-01-28,1557361672,2477,1847,0,123
2019-01-29,1557361672,2690,1900,0,124
2019-01-30,1557361640,3164,2370,0,160
2019-01-31,1557361639,6663,5014,0,267
2019-02-01,1557361639,3061,2288,0,92
2019-02-02,1557361639,2507,1770,0,81
2019-02-03,1557361638,1862,1326,0,96
2019-02-04,1557361638,7359,5943,0,327
2019-02-05,1557361638,2251,1730,0,95
2019-02-06,1557361637,2340,1651,0,97
2019-02-07,1557361637,2286,1563,0,86
2019-02-08,1557361636,1438,973,0,77
2019-02-09,1557361636,831,562,0,56
2019-02-10,1557361647,2896,2115,0,138
2019-02-11,1557361647,189,128,0,11
2019-02-12,1557361647,1225,913,0,45
2019-02-13,1557361646,4404,3418,0,164
2019-02-14,1557361646,2660,1808,0,108
2019-02-15,1557361646,3532,2421,0,159
2019-02-16,1557361645,2336,1581,0,77
2019-02-17,1557361645,691,468,0,54
2019-02-18,1557361645,2716,1911,0,75
2019-02-19,1557361644,5289,4241,0,224
2019-02-20,1557361653,5050,3585,0,136
2019-02-21,1557361653,2325,1589,0,73
2019-02-22,1557361653,5358,4197,0,242
2019-02-23,1557361652,1069,723,0,66
2019-02-24,1557361652,111,75,0,13
2019-02-25,1557361651,5745,4509,0,218
2019-02-26,1557361651,2752,1883,0,88
2019-02-27,1557361651,3261,2412,0,151
2019-02-28,1557361650,3388,2474,0,123
2019-03-01,1557361654,3961,3093,0,156
2019-03-02,1557361654,2570,1801,0,88
2019-03-03,1557361654,2567,1868,0,83
2019-03-04,1557361655,14311,11078,0,507
2019-03-05,1557361655,9631,7345,0,334
2019-03-06,1557361655,7344,5367,0,239
2019-03-07,1557361656,4626,3217,0,171
2019-03-08,1557361656,3842,2741,0,141
2019-03-09,1557361656,5530,3945,0,191
2019-03-10,1557361657,8068,6058,0,323
2019-03-11,1557361657,6868,5367,0,268
2019-03-12,1557361658,6379,4943,0,242
2019-03-13,1557361658,8258,6352,0,343
2019-03-14,1557361658,2928,2056,0,149
2019-03-15,1557361659,2196,1486,0,124
2019-03-16,1557361659,481,325,0,42
2019-03-17,1557361659,10296,8530,0,447
2019-03-18,1557361660,6810,5360,0,277
2019-03-19,1557361660,3209,2220,0,113
2019-03-20,1557361661,4999,3597,0,184
2019-03-21,1557361661,2187,1710,0,91
2019-03-22,1557361661,0,0,0,0
2019-03-23,1557361662,2814,1904,0,102
2019-03-24,1557361662,5282,3605,0,168
2019-03-25,1557361663,3716,2582,0,149
2019-03-26,1557361663,6402,4900,0,232
2019-03-27,1557361663,5738,4198,0,186
2019-03-28,1557361664,6022,4501,0,178
2019-03-29,1557361664,2732,1946,0,76
2019-03-30,1557361668,726,491,0,36
2019-03-31,1557361668,357,242,0,33
2019-04-01,1557361669,696,471,0,39
2019-04-02,1557361669,2439,1683,0,79
2019-04-03,1557361670,3400,2518,0,124
2019-04-04,1557361670,3130,2391,0,100
2019-04-05,1557361670,2782,2004,0,100
2019-04-06,1557361671,2558,1922,0,99
2019-04-07,1557361671,1107,749,0,38
2019-04-08,1557361671,4123,2790,0,152
2019-04-09,1557361672,4267,3129,0,152
2019-04-10,1557361676,3474,2554,0,93
2019-04-11,1557361676,5279,3729,0,186
2019-04-12,1557361676,4861,3459,0,152
2019-04-13,1557361677,3474,2848,0,144
2019-04-14,1557361677,2073,1452,0,64
2019-04-15,1557361677,2618,1910,0,89
2019-04-16,1557361678,4570,3374,0,155
2019-04-17,1557361678,2953,2153,0,92
2019-04-18,1557361679,4633,3451,0,162
2019-04-19,1557361679,1846,1330,0,72
2019-04-20,1557361640,159,108,0,20
2019-04-21,1557361641,5006,3682,0,197
2019-04-22,1557361641,2982,2119,0,130
2019-04-23,1557361642,3210,2331,0,135
2019-04-24,1557361642,4126,2940,0,154
2019-04-25,1557361642,3164,2246,0,150
2019-04-26,1557361643,3695,2532,0,128
2019-04-27,1557361643,884,617,0,33
2019-04-28,1557361643,12597,9468,0,401
2019-04-29,1557361644,4330,3156,0,139
2019-04-30,1557361640,4900,3484,0,161
2019-05-01,1557361648,5213,3760,0,142
2019-05-02,1557361648,5712,4260,0,179
2019-05-03,1557361648,3039,2123,0,109
2019-05-04,1557361649,3854,2855,0,132
2019-05-05,1557361649,4833,3569,0,160
2019-05-06,1557361650,3620,2859,0,140
2019-05-07,1557361650,2060,1450,0,69
2019-05-09,1562230784,244,162,0,14
2019-05-10,1562230786,13,9,0,2
2019-05-11,1562230787,1735,1166,0,54
2019-05-12,1562230788,2524,1742,0,77
2019-05-13,1562230789,531,372,0,24
2019-05-14,1562230790,2716,1840,0,119
2019-05-15,1562230791,3589,2576,0,110
2019-05-16,1562230792,3388,2372,0,90
2019-05-17,1562230793,3517,2437,0,97
2019-05-18,1562230795,1874,1247,0,65
2019-05-19,1562230795,6264,4399,0,183
2019-05-20,1562230785,1324,933,0,59
2019-05-21,1562230797,6627,4919,0,222
2019-05-22,1562230799,4206,2929,0,123
2019-05-23,1562230800,4548,3028,0,199
2019-05-24,1562230802,3543,2395,0,125
2019-05-25,1562230803,4017,2717,0,103
2019-05-26,1562230803,2038,1503,0,75
2019-05-27,1562230804,409,272,0,30
2019-05-28,1562230805,5359,3942,0,162
2019-05-29,1562230805,6028,4448,0,198
2019-05-30,1562230796,6737,4998,0,250
2019-05-31,1562230797,4171,2969,0,143
2019-06-01,1562230769,2780,1990,0,103
2019-06-02,1562230770,1410,1032,0,51
2019-06-03,1562230770,1027,683,0,53
2019-06-04,1562230772,3489,2392,0,112
2019-06-05,1562230771,4231,2867,0,103
2019-06-06,1562230774,6016,4486,0,174
2019-06-07,1562230773,3195,2204,0,87
2019-06-08,1562230776,5932,4461,0,201
2019-06-09,1562230775,2996,2083,0,80
2019-06-10,1562230769,4343,3125,0,136
2019-06-11,1562230778,5611,4022,0,206
2019-06-12,1562230778,3772,2621,0,116
2019-06-13,1562230780,8322,6320,0,266
2019-06-14,1562230779,6703,4741,0,198
2019-06-15,1562230781,1949,1440,0,75
2019-06-16,1562230780,4308,2944,0,119
2019-06-17,1562230783,5437,3797,0,158
2019-06-18,1562230782,2302,1636,0,80
2019-06-19,1562230784,4432,2949,0,141
2019-06-20,1562230777,8156,6158,0,323
2019-06-21,1562230776,5224,3891,0,189
2019-06-22,1562230788,6624,4711,0,199
2019-06-23,1562230787,1721,1330,0,63
2019-06-24,1562230789,7408,5260,0,201
2019-06-25,1562230789,2386,1593,0,75
2019-06-26,1562230792,5932,4182,0,155
2019-06-27,1562230790,5389,3653,0,155
2019-06-28,1562230794,6021,4402,0,197
2019-06-29,1562230793,1898,1263,0,82
2019-06-30,1562230785,2674,1920,0,109
2019-07-01,1562230799,4608,3315,0,167
2019-07-02,1562230798,2803,1989,0,102
2019-07-03,1562230802,3158,2161,0,91
2019-07-04,1562230801,27,18,0,3

